ACADL	MDH2
ACADL	NAGS
ACADL	ND1
ACADL	ND2
ACADL	ND3
ACADL	ND4
ACADL	ND4L
ACADL	ND5
ACADL	ND6
ACADL	NDUFA1
ACADL	NDUFA10
ACADL	NDUFA11
ACADL	NDUFA12
ACADL	NDUFA13
ACADL	NDUFA2
ACADL	NDUFA3
ACADL	NDUFA4
ACADL	NDUFA5
ACADL	NDUFA6
ACADL	NDUFA7
ACADL	NDUFA8
ACADL	NDUFA9
ACADL	NDUFAB1
ACADL	NDUFB1
ACADL	NDUFB10
ACADL	NDUFB11
ACADL	NDUFB2
ACADL	NDUFB3
ACADL	NDUFB4
ACADL	NDUFB5
ACADL	NDUFB6
ACADL	NDUFB7
ACADL	NDUFB8
ACADL	NDUFB9
ACADL	NDUFC1
ACADL	NDUFC2
ACADL	NDUFS1
ACADL	NDUFS2
ACADL	NDUFS3
ACADL	NDUFS4
ACADL	NDUFS5
ACADL	NDUFS6
ACADL	NDUFS7
ACADL	NDUFS8
ACADL	NDUFV1
ACADL	NDUFV2
ACADL	NDUFV3
ACADL	PDHA1
ACADL	PDHB
ACADL	PDHX
ACADL	SLC25A16
ACADL	SUCLA2
ACADL	SUCLG1
ACADL	SUCLG2
ACADM	ACADS
ACADM	ACADSB
ACADM	ACADVL
ACADM	ACAT1
ACADM	ACAT2
ACADM	ACOX1
ACADM	ACOX3
ACADM	ACSBG1
ACADM	ACSBG2
ACADM	ACSL1
ACADM	ACSL3
ACADM	ACSL4
ACADM	ACSL5
ACADM	ACSL6
ACADM	ACSS1
ACADM	ACSS2
ACADM	ACSS3
ACADM	ALDH6A1
ACADM	CARM1
ACADM	CHD9
ACADM	CPT1A
ACADM	CPT1B
ACADM	CPT1C
ACADM	CPT2
ACADM	CREBBP
ACADM	DBT
ACADM	DECR1
ACADM	ECHS1
ACADM	EHHADH
ACADM	FOXA2
ACADM	GCDH
ACADM	HADHA
ACADM	HADHB
ACADM	HELZ2
ACADM	IVD
ACADM	MCCC1
ACADM	MCCC2
ACADM	MED1
ACADM	NCOA1
ACADM	NCOA2
ACADM	NCOA6
ACADM	PCCA
ACADM	PCCB
ACADM	PPARA
ACADM	RXRA
ACADM	SMARCD3
ACADM	TBL1X
ACADM	TBL1XR1
ACADM	TGS1
ACADS	ACADSB
ACADS	ACAT1
ACADS	ACAT2
ACADS	ACOX1
ACADS	ACOX3
ACADS	ACSM1
ACADS	ACSM2A
ACADS	ACSM2B
ACADS	ACSM3
ACADS	ACSM4
ACADS	ACSM5
ACADS	DBT
ACADS	ECHS1
ACADS	EHHADH
ACADS	GCDH
ACADS	HADHA
ACADS	HADHB
ACADSB	ACAT1
ACADSB	ACAT2
ACADSB	ACOX1
ACADSB	ACOX3
ACADSB	BCKDHA
ACADSB	BCKDHB
ACADSB	DBT
ACADSB	DLD
ACADSB	ECHS1
ACADSB	EHHADH
ACADSB	GCDH
ACADSB	HADHA
ACADSB	HADHB
ACADSB	HSD17B10
ACADVL	ACOX1
ACADVL	ACOX3
ACADVL	ACSBG1
ACADVL	ACSBG2
ACADVL	ACSL1
ACADVL	ACSL3
ACADVL	ACSL4
ACADVL	ACSL5
ACADVL	ACSL6
ACADVL	CPT1A
ACADVL	CPT1B
ACADVL	CPT1C
ACADVL	CPT2
ACADVL	ECHS1
ACADVL	EHHADH
ACADVL	FOXA2
ACADVL	HADHA
ACADVL	HADHB
ACADVL	XBP1
ACAP1	ARF6
ACAP1	CLTC
ACAP1	GULP1
ACAP1	SLC2A4
ACAP2	ARF6
ACAT1	ACAT2
ACAT1	ACOT12
ACAT1	ACOX1
ACAT1	ACOX3
ACAT1	ACSM1
ACAT1	ACSM2A
ACAT1	ACSM2B
ACAT1	ACSM4
ACAT1	ACSM5
ACAT1	ACSS1
ACAT1	ACSS2
ACAT1	ALAS1
ACAT1	ALAS2
