Gene,sgRNAs included,KBM7 CS,KBM7 adjusted p-value,K562 CS,K562 adjusted p-value,Jiyoye CS,Jiyoye adjusted p-value,Raji CS,Raji adjusted p-value
UBIAD1,10,-0.109,0.6053311472,-0.105,0.7298682901,0.311,0.0976398758,-0.241,0.7901578412
UBL3,9,0.132,0.3923965761,0.313,0.2772813481,-0.058,0.9254624012,0.090,0.6027567228
UBL4A,10,0.072,0.5252354558,0.381,0.1219445895,0.102,0.8589464085,0.230,0.5037516286
UBL4B,9,-0.238,0.5758760928,-1.229,0.0153581041,-0.309,0.3712109148,-0.337,0.9382763289
UBL5,10,-2.175,0.0045350121,-3.165,0.0004834639,-2.978,0.0011369424,-1.928,0.0014212246
UBL7,10,-0.932,0.0041435886,-0.201,0.672506903,-0.375,0.4389739014,-0.370,0.6799874579
UBLCP1,9,0.068,0.690839548,0.387,0.1461343232,0.209,0.6273441058,0.032,0.6922279892
UBN1,9,-0.157,0.9701022609,-0.194,0.8160211215,0.045,0.9750333892,0.092,0.6879081205
UBN2,10,0.002,0.8986812124,-0.652,0.3486113927,0.409,0.2596757615,0.336,0.2620158988
UBOX5,10,0.145,0.2534230763,-0.038,0.6894583168,0.013,0.8095103423,0.185,0.1398725707
UBP1,9,0.168,0.3361844821,-0.016,0.8641069971,0.041,0.7759792199,0.436,0.1042689452
UBQLN1,8,-0.152,0.9955802275,0.257,0.2746473479,0.545,0.0166561749,0.437,0.1631042439
UBQLN2,10,-0.077,0.842126191,0.103,0.5566501125,-0.005,0.7205849467,0.434,0.3485239099
UBQLN3,10,0.193,0.2176620265,0.149,0.4632550391,0.239,0.4503270586,0.119,0.6398018803
UBQLN4,10,-0.051,0.9801671246,-0.415,0.5173082111,-0.238,0.6216029739,-0.044,0.4634616257
UBQLNL,10,0.138,0.2359348716,0.092,0.4409062466,0.206,0.6468964067,0.047,0.7227099943
UBR1,8,-0.394,0.1562364791,-0.191,0.8307261451,-0.075,0.9072625814,-0.074,0.8278189909
UBR2,9,-0.350,0.4119985509,-0.690,0.3762881344,-0.075,0.8068901774,-0.406,0.7165016492
UBR3,9,0.134,0.1362430902,-0.647,0.3616682632,0.101,0.8456756901,0.440,0.1564730556
UBR4,9,-1.246,0.0158736218,-1.160,0.1329754139,-0.980,0.0833336801,0.191,0.390223883
