Gene,sgRNAs included,KBM7 CS,KBM7 adjusted p-value,K562 CS,K562 adjusted p-value,Jiyoye CS,Jiyoye adjusted p-value,Raji CS,Raji adjusted p-value
ADAM9,9,-0.136,0.8500476795,0.285,0.1823562354,0.347,0.3852260824,0.308,0.7172641326
ADAMDEC1,10,0.027,0.7335075741,0.302,0.2118269479,0.183,0.8105253891,0.175,0.3950802769
ADAMTS1,10,-0.062,0.4998176976,-0.019,0.6824588444,0.024,0.9672752091,-0.053,0.9889741563
ADAMTS10,10,-0.277,0.7512564935,-0.152,0.6988186948,0.070,0.8288517206,-0.360,0.4433760669
ADAMTS12,10,-0.251,0.8433142328,-0.185,0.434835573,-0.109,0.7808665618,-0.116,0.7101668159
ADAMTS13,9,-0.193,0.9931913886,-0.622,0.9293008833,0.077,0.405989715,-0.333,0.6922279892
ADAMTS14,8,-0.634,0.0516001323,-1.697,0.0541536784,-0.060,0.7156605248,-0.338,0.9150015712
ADAMTS15,8,0.196,0.7029487478,0.344,0.4296300891,0.146,0.5827321056,0.189,0.7851887411
ADAMTS16,9,0.042,0.497156927,0.038,0.7415944324,0.319,0.025755112,0.196,0.6382685933
ADAMTS17,9,-0.104,0.9662799464,-0.558,0.8375245795,0.233,0.7469823674,0.097,0.795233153
ADAMTS18,9,0.013,0.6547303217,0.069,0.857185821,-0.045,0.8353220151,0.506,0.2644254681
ADAMTS19,8,0.311,0.3174281952,0.344,0.235619714,0.005,0.8844108877,0.172,0.8172996452
ADAMTS2,9,0.437,0.2078587152,-0.034,0.8758931502,-0.067,0.9986261462,-0.036,0.9412119722
ADAMTS20,9,0.106,0.7544144726,0.180,0.2469559618,0.224,0.5567674154,0.076,0.6511964766
ADAMTS3,10,0.193,0.242995473,0.487,0.0376447843,0.101,0.8643149794,0.135,0.5525589384
ADAMTS4,7,-0.218,0.8812572084,-0.195,0.9173144349,-0.283,0.4753772442,0.106,0.7647244
ADAMTS5,10,-0.180,0.783269182,0.481,0.0338551669,0.397,0.2492615025,0.050,0.7195931389
ADAMTS6,9,-0.174,0.4834481199,0.178,0.4488864696,-0.001,0.9654007583,0.080,0.898063221
ADAMTS7,9,-0.781,0.4077011609,-0.770,0.9176613922,-0.490,0.9724493438,-0.055,0.7247882827
ADAMTS8,10,-0.302,0.9902271411,-0.907,0.8974693109,-0.678,0.5963248857,-0.350,0.8228296306
ADAMTS9,10,-0.005,0.8348654821,0.265,0.3630242186,0.218,0.8844108877,0.094,0.9592806913
ADAMTSL1,8,-0.094,0.9710700676,0.115,0.3657998419,-0.032,0.9957361334,-0.066,0.9282108253
ADAMTSL2,9,-0.038,0.8181003337,-1.004,0.9996905677,0.159,0.7279440542,-0.419,0.1234656992
ADAMTSL3,9,-0.464,0.8935335323,0.005,0.6730567963,0.160,0.7137590096,0.135,0.9260290567
ADAMTSL4,9,-0.631,0.1244870158,-1.457,0.0513163017,-0.573,0.2737616861,-1.223,0.0446239428
ADAMTSL5,9,-0.597,0.1862245597,-1.647,0.1243605814,-0.287,0.8587130777,-0.731,0.6966710929
ADAP1,10,0.124,0.2253687757,-0.235,0.6123040639,0.134,0.8895716033,0.065,0.7352965423
ADAP2,9,0.189,0.523324803,0.029,0.7340503295,-0.140,0.8490589734,0.274,0.689796626
ADAR,10,-0.708,0.2251047963,0.016,0.6085232997,-0.363,0.4789712321,-0.211,0.6385183425
ADARB1,8,-0.086,0.6817164374,-0.497,0.9989525343,-0.378,0.9506736147,-0.299,0.9988441032
ADARB2,9,-0.053,0.99484639,0.274,0.4460829989,0.359,0.2999294267,0.289,0.5632142594
ADAT1,10,0.195,0.1920851324,0.419,0.1779954016,-0.056,0.7573447534,0.284,0.4042703402
ADAT2,10,-1.295,0.099175986,-0.502,0.6501567984,-0.218,0.8712322043,-0.318,0.3113691619
ADAT3,10,-1.254,0.0022688772,-1.213,0.0438561424,-0.684,0.0682733796,-0.571,0.1376397615
ADC,9,-0.360,0.4364130848,-0.673,0.807181603,-0.392,0.7489593337,0.107,0.762403586
ADCK1,10,0.266,0.1810934096,0.207,0.4666505025,0.480,0.2906206578,-0.136,0.6876520394
ADCK2,7,-0.072,0.9614832581,-0.474,0.9346503466,-0.351,0.8701415767,-0.288,0.7358467108
ADCK3,10,0.115,0.6667453364,-0.073,0.7744106122,-0.424,0.5380058479,0.143,0.7220251512
ADCK4,9,-0.247,0.9439703633,-1.094,0.3046637044,-0.620,0.1177932293,-0.830,0.1646183584
ADCK5,10,-0.512,0.1030580849,-0.412,0.5263820599,-0.049,0.919432647,-0.074,0.9429044655
ADCY1,9,-0.300,0.9195807315,-0.804,0.5806506744,-0.427,0.8666698696,-0.810,0.4113571389
ADCY10,8,-0.037,0.9055303322,-0.548,0.6570549938,-0.167,0.9894732458,-0.633,0.5390956849
ADCY2,9,0.309,0.083152652,0.319,0.0663794251,0.490,0.0795832457,0.110,0.4879579575
ADCY3,8,-0.217,0.8450486984,-0.760,0.1809389411,-0.128,0.9287263117,-0.504,0.9939750371
ADCY4,10,-0.404,0.2744236934,-1.329,0.0946131394,-0.218,0.7798474142,-0.360,0.670888852
ADCY5,8,-0.819,0.6642234485,-0.970,0.2735936548,-0.150,0.9473412763,-0.553,0.8278189909
ADCY6,8,-0.247,0.9699607588,-1.023,0.327213274,-0.414,0.9987868647,-0.225,0.5790332086
ADCY7,6,0.255,0.431136678,0.049,0.3799144875,-0.553,0.4728201533,-0.367,0.3845024535
ADCY8,7,0.052,0.6672573082,0.012,0.5374993158,-0.170,0.9644247058,0.243,0.6747506424
ADCY9,9,-0.020,0.9244218578,-0.306,0.6458620669,-0.017,0.8543496284,-0.143,0.9669150107
ADCYAP1,10,0.268,0.039149414,0.277,0.1977488501,0.268,0.332819442,0.433,0.1599557188
ADCYAP1R1,10,0.095,0.3396784978,-0.032,0.5809675323,0.334,0.6408114849,0.239,0.2263105622
ADD1,10,-0.581,0.8536893038,-0.488,0.4242909112,-0.692,0.9886681829,-0.309,0.9906036932
ADD2,7,-0.663,0.1748078381,-0.851,0.279817753,-0.194,0.750532436,-0.394,0.7600986425
ADD3,10,0.082,0.7249688715,0.100,0.6835864461,0.066,0.683523317,0.321,0.5122428258
ADH1A,10,0.118,0.4719500651,0.329,0.0268472166,0.258,0.3982468549,0.260,0.3111105701
ADH1B,9,-0.319,0.8336056634,0.115,0.3068614648,-0.236,0.9638350173,-0.109,0.7955263055
ADH4,8,0.002,0.5575047027,0.349,0.1859739391,0.045,0.8224048117,0.587,0.0286193604
ADH5,10,0.201,0.1376945735,0.695,0.0218492476,0.139,0.6762674672,0.338,0.2058944549
ADH6,10,0.005,0.6960190751,0.142,0.3058456072,-0.063,0.9524021389,0.162,0.1305020163
ADH7,10,0.208,0.4546959336,-0.089,0.4031279345,-0.130,0.8417681863,-0.026,0.8524491623
ADHFE1,10,-0.391,0.4307643443,-0.124,0.3103555975,0.288,0.3759452585,-0.131,0.6762239482
ADI1,10,0.179,0.5081119072,-0.594,0.9996905677,0.277,0.405989715,0.218,0.4847694555
ADIG,10,0.023,0.5572916693,0.078,0.6685302789,-0.049,0.9528533888,-0.015,0.7728733217
ADIPOQ,9,0.297,0.1689557263,0.011,0.5267272503,0.254,0.6216048064,0.450,0.1668257245
ADIPOR1,9,0.031,0.7291814863,0.092,0.4047479101,0.160,0.7004332882,0.132,0.3861304138
ADIPOR2,9,-0.039,0.6610745903,-0.516,0.375554872,0.058,0.9963837548,0.100,0.6802691084
ADIRF,10,-0.105,0.8783079767,-0.415,0.9578315858,-0.354,0.550995418,-0.190,0.6143661111
ADK,9,-0.365,0.4810847025,-0.556,0.517202599,-0.279,0.8280215039,0.265,0.4649189794
ADM,8,0.360,0.3333347335,0.416,0.0844406636,0.327,0.3886277918,0.421,0.0241857137
ADM2,8,-0.219,0.7752183022,-0.008,0.364182454,0.445,0.1417565133,0.183,0.7031359718
ADM5,9,-0.008,0.5081119072,-0.292,0.9593114404,0.152,0.8543403141,-0.278,0.9020258378
ADNP,8,0.187,0.2273448646,-0.525,0.2999429868,0.538,0.14029663,0.150,0.8967482363
ADNP2,9,-0.038,0.9703636715,-0.167,0.9645441115,0.248,0.5928385898,0.149,0.7758460982
ADO,9,-0.895,0.216920273,-1.495,0.3704545272,-0.744,0.5696340062,-0.468,0.3945837948
ADORA1,8,0.053,0.7147749963,-0.418,0.6423973936,0.048,0.9522655068,-0.287,0.9736415395
ADORA2A,8,0.021,0.8512588033,0.070,0.9206444718,-0.104,0.8341963499,0.001,0.6289482871
ADORA2B,10,0.283,0.3608282288,0.280,0.4063994226,0.348,0.3852260824,0.034,0.5469964288
ADORA3,10,-0.052,0.7659796581,-0.555,0.1303860602,-0.187,0.9070582929,-0.015,0.9955170407
ADPGK,10,-0.005,0.4472060264,-0.006,0.6080644453,0.283,0.2315400865,0.367,0.3415840456
ADPRH,10,-0.184,0.9400648668,-0.287,0.9373271937,0.012,0.8760946955,-0.089,0.8543678269
ADPRHL1,10,-0.021,0.7543965832,0.141,0.3301765963,0.166,0.7461325273,0.154,0.469260836
ADPRHL2,9,-0.136,0.8233366571,-0.765,0.3922096442,-0.453,0.7727205705,0.240,0.2746333053
ADPRM,10,0.189,0.2317247178,0.428,0.1601713782,0.157,0.6265590523,0.359,0.3868440587
ADRA1A,9,-0.164,0.9395848385,0.205,0.7448840239,0.043,0.7278314596,0.015,0.5504475604
ADRA1B,10,-0.290,0.9163328284,-0.138,0.8111679007,-0.529,0.8406237191,-0.069,0.8580232218
ADRA1D,7,-0.184,0.9957940443,-1.110,0.3657998419,-0.228,0.9700099834,0.016,0.8278189909
ADRA2A,8,0.127,0.5496327743,-0.174,0.7298425601,0.041,0.8424638473,-0.097,0.63834329
ADRA2B,10,-0.371,0.9472055456,-0.920,0.6282957535,-0.548,0.9405757679,0.002,0.9858367017
ADRA2C,9,0.104,0.7139945829,0.394,0.3115614486,0.275,0.7777974319,0.173,0.2849409704
ADRB1,8,0.123,0.688977113,-0.392,0.9369128068,-0.180,0.7533225668,-0.226,0.9930654832
ADRB2,10,0.165,0.3500828708,0.202,0.5376250914,-0.019,0.9323397035,-0.013,0.8681356804
ADRB3,9,-0.512,0.3888873349,-0.257,0.9912633892,-0.067,0.9567979895,0.005,0.8927692701
ADRBK1,9,-0.282,0.50983369,-0.761,0.1334184874,-0.660,0.3790498894,-0.540,0.6593766897
ADRBK2,9,0.017,0.9323855667,-0.622,0.807181603,-0.603,0.8045830141,-0.136,0.9740435522
ADRM1,8,-1.340,0.0168441495,-0.896,0.8442206082,-1.117,0.1351836803,-0.843,0.3435781391
ADSL,10,-2.441,0.0048899859,-3.300,0.0020977098,-2.175,2.53E-05,-1.625,0.0010512542
ADSS,10,-2.213,0.0048780483,-2.242,0.0112280908,-3.490,5.41E-05,-1.895,0.0002826741
ADSSL1,9,0.020,0.5789531918,0.436,0.2570701163,0.040,0.9912707955,-0.075,0.6734767144
ADTRP,9,0.320,0.2511380415,0.501,0.1425698109,0.461,0.4536941205,0.646,0.0117551454
AEBP1,10,-0.848,0.123092309,-1.772,0.6988186948,-0.481,0.3426421775,-0.503,0.4465795805
AEBP2,10,-0.287,0.4318384608,0.568,0.0290265679,-0.246,0.6700574907,-0.099,0.8395665403
AEN,9,-0.320,0.5669028337,0.058,0.4605814817,0.312,0.2952160778,0.096,0.7754274829
AES,10,-0.106,0.9382532797,-0.224,0.6643918648,-0.088,0.9971975153,-0.066,0.8074431159
AFAP1,10,-0.162,0.9243255934,-0.985,0.8145249004,-0.086,0.9450793165,-0.636,0.9653697804
AFAP1L1,9,-0.403,0.4551964295,-0.184,0.8506306394,-0.001,0.9750333892,-0.024,0.9105495293
AFAP1L2,10,-0.369,0.6062346978,-0.402,0.8712161561,-0.255,0.6893813595,-0.407,0.952097439
AFF1,8,-0.706,0.5467490829,-0.661,0.7110706447,-0.979,0.8207500301,-0.932,0.327465527
AFF2,9,-0.671,0.8815074243,-0.768,0.9458289004,-0.648,0.9556216998,-0.611,0.9410266904
AFF3,9,-0.056,0.791073049,-0.469,0.5200802499,0.128,0.8938775064,-0.520,0.1391506894
AFF4,10,-0.123,0.7623842276,-0.523,0.4958360137,-0.002,0.9043058631,-0.182,0.9266778359
AFG3L2,8,-2.001,0.0020377047,-2.459,0.0418829434,-1.942,0.0144331289,-2.110,0.0001763285
AFM,10,-0.025,0.4928789553,0.517,0.0369622977,0.224,0.6711326915,0.330,0.0815873406
AFMID,8,-0.246,0.79730994,-0.439,0.8745879063,-0.423,0.7510264438,-0.779,0.2603442292
AFP,10,0.184,0.1574243845,0.205,0.2262018972,0.183,0.3374808725,0.337,0.2518261642
AFTPH,10,-0.248,0.8556295682,-0.130,0.9206444718,0.138,0.7004713799,-0.286,0.6565549951
AGA,10,0.072,0.7180551284,0.475,0.0149496672,0.046,0.8397649492,0.086,0.8833044119
AGAP1,10,0.414,0.0489642668,0.242,0.5809675323,0.268,0.2880365005,0.356,0.2790236683
AGAP2,8,-0.389,0.9867465815,-1.408,0.2735936548,-0.565,0.4600682991,-0.767,0.6514635171
AGAP3,10,0.314,0.1506976376,-0.163,0.5823134589,-0.035,0.8750283376,-0.436,0.4981594975
AGAP4,9,-0.806,0.7855360096,-1.537,0.5183513776,-0.457,0.9520143522,-0.107,0.7031359718
AGAP5,10,-0.667,0.7272921903,-1.868,0.0576543636,-1.089,0.3640971198,-0.799,0.4097004
AGAP6,10,-1.067,0.12269437,-1.760,0.1141987641,-1.530,0.0225752998,-0.887,0.0640202026
AGAP7,9,-1.523,0.133891255,-2.529,0.0905597709,-1.378,0.0029850528,-0.950,0.4786277139
AGAP8,9,-0.750,0.7561905188,-1.439,0.3963183534,-1.067,0.7881150627,-0.604,0.2762807281
AGAP9,8,-1.541,0.2062660965,-2.538,0.0420527864,-2.335,0.0171137301,-0.905,0.5976649422
AGBL1,10,-0.657,0.7249688715,-0.369,0.8278138099,-0.325,0.9540252215,-0.041,0.3990631516
AGBL2,10,-0.255,0.3001504312,-0.449,0.2216150118,-0.211,0.9203088231,0.159,0.7178027693
AGBL3,9,0.362,0.4016519552,-0.018,0.8941922873,0.256,0.6257495761,0.282,0.5011563424
AGBL4,8,-0.241,0.9787249939,-0.410,0.9063909947,-0.215,0.9528533888,-0.359,0.5723403959
AGBL5,9,-1.022,0.4939536653,-1.453,0.6843859912,-0.458,0.8197429172,-0.517,0.8869101002
AGER,10,-0.470,0.9481724133,-0.564,0.994967661,-0.278,0.9912707955,0.039,0.7530988255
AGFG1,10,0.090,0.4746352613,0.413,0.0143754056,0.261,0.4176767223,0.295,0.0899467395
AGFG2,9,-0.282,0.8764539007,-0.857,0.5571186015,0.046,0.7235677266,-0.507,0.6258705772
AGGF1,10,-0.374,0.7998257531,-0.789,0.9173144349,-0.368,0.9267291462,-0.268,0.9077305619
AGK,10,0.149,0.3068466406,0.136,0.5319326735,-0.060,0.953208299,0.354,0.211214786
AGL,10,-0.069,0.5334360793,0.159,0.2532087536,0.243,0.2766883508,0.359,0.2350464867
AGMAT,10,-0.259,0.365146096,-0.955,0.035371498,-0.016,0.971000988,-0.490,0.4171330995
AGMO,9,0.205,0.2741040718,0.263,0.3936728088,0.362,0.5139447402,0.320,0.4405408087
AGO1,9,0.017,0.9194598832,-0.268,0.7013417099,-0.212,0.2987635128,0.209,0.7758460982
AGO2,9,-2.292,8.29E-05,-0.947,0.139594402,-1.711,0.0010990599,-0.499,0.5395325263
AGO3,10,0.269,0.3843155721,-0.636,0.5090011956,-0.115,0.7706521556,0.165,0.701946154
AGO4,10,-0.092,0.9060526905,-0.322,0.6506856166,0.100,0.9205841599,-0.011,0.8515517627
AGPAT1,10,-0.464,0.8609713112,-2.341,0.0020328856,-0.771,0.0053498388,-1.035,0.0061536508
AGPAT2,8,-0.265,0.8396062937,-0.944,0.6879714437,-0.179,0.9565069208,-0.500,0.7572648605
AGPAT3,9,0.250,0.2417810787,-0.206,0.9493013821,-0.051,0.9391031891,-0.067,0.9955573069
AGPAT4,10,0.147,0.4315086832,0.145,0.686424872,0.219,0.2048696048,0.269,0.5642771408
AGPAT5,9,-0.673,0.3410119625,-1.821,0.009286705,-0.725,0.6089744279,-0.296,0.8388432228
AGPAT6,9,-0.285,0.5158973741,0.226,0.4025147013,0.293,0.1787417716,-0.402,0.2273336519
AGPAT9,10,-0.106,0.9206767536,0.405,0.0986708933,0.373,0.5451654879,0.207,0.7807142697
AGPS,8,-0.694,0.0266225313,-0.714,0.3030839195,0.093,0.7046828064,0.117,0.623433161
AGR2,9,0.164,0.2209118369,-0.046,0.450675916,0.105,0.9315623877,0.016,0.9832467102
AGR3,10,0.255,0.2452586781,0.357,0.1552044882,0.253,0.6766685115,0.101,0.3022452525
AGRN,8,-0.216,0.690839548,-0.457,0.3897964881,-0.157,0.9373690344,-0.070,0.5985536543
AGRP,9,-0.395,0.9070827335,-0.589,0.9671200308,-0.104,0.7469823674,0.292,0.2235893022
AGT,9,-0.772,0.962897395,-1.226,0.5646431897,-0.341,0.8696958676,-0.633,0.5905100873
AGTPBP1,9,0.124,0.5646202261,0.325,0.1607599159,-0.399,0.0257392129,0.220,0.2418978891
AGTR1,10,0.096,0.3176615711,0.562,0.0158524117,0.116,0.504531501,0.539,0.060857744
AGTR2,9,0.099,0.6825448904,0.422,0.0719586862,0.215,0.7374376167,0.065,0.6922279892
AGTRAP,9,-0.011,0.8342190205,-0.623,0.7283593196,-0.159,0.7623711999,-0.089,0.9994208293
AGXT,10,-0.795,0.2760501135,-1.295,0.7926575262,-0.904,0.582519198,-0.389,0.5657141423
AGXT2,10,0.456,0.096343311,-0.031,0.7977540927,0.273,0.5632232427,0.357,0.2455641723
AHCTF1,10,-1.481,0.0010192907,-1.822,0.0523035244,-1.481,0.0256021584,-1.602,0.0067960285
AHCY,10,-2.127,0.0010615612,-2.970,0.000135745,-2.191,0.0001702482,-0.980,0.0310484281
AHCYL1,10,-0.789,0.0629057955,-4.667,2.69E-05,-0.503,0.0605402653,-0.694,0.0159580626
AHCYL2,9,-0.011,0.7092841815,-0.295,0.456763516,0.126,0.7789818219,-0.023,0.9955170407
AHDC1,9,0.107,0.3174281952,-0.377,0.5646431897,0.109,0.5793951695,-0.496,0.2998191316
AHI1,10,-0.079,0.8425842297,0.206,0.4171682198,0.213,0.1870890631,-0.035,0.9537697259
AHNAK,9,0.081,0.7450292994,-0.541,0.0682761857,-0.018,0.959520315,0.208,0.5867853532
AHNAK2,10,-0.608,0.4568212433,-0.929,0.7070773659,-0.525,0.8015436526,-0.429,0.8560442498
AHR,10,-0.482,0.4400735085,0.282,0.105593162,0.319,0.1115240751,0.012,0.7057590662
AHRR,10,0.187,0.5257514549,-0.389,0.9812009341,0.109,0.9264283886,-0.043,0.8129540647
AHSA1,10,-0.147,0.9828697087,-0.135,0.8412322076,0.388,0.0575615143,-0.382,0.2142351419
AHSA2,9,-0.064,0.5808964996,-0.463,0.293681703,-0.204,0.9654946011,-0.602,0.6050017792
AHSG,10,0.436,0.07660653,0.402,0.1103241609,0.275,0.4164261595,0.192,0.3564042735
AHSP,10,0.102,0.8663319568,0.425,0.3244455625,0.042,0.9744305848,-0.022,0.8998409618
AICDA,10,-0.077,0.9344605149,-0.461,0.5525363835,0.089,0.9660880101,-0.262,0.8231230483
AIDA,9,0.081,0.841328889,-0.418,0.525583673,0.076,0.9072625814,0.047,0.9043100263
AIF1,10,0.111,0.3386811835,-0.187,0.8635064612,0.149,0.897696761,0.295,0.378307564
AIF1L,10,-0.091,0.9605414839,-2.467,0.0002990413,0.044,0.9254624012,0.094,0.7482097339
AIFM1,10,-1.273,0.0007862768,0.389,0.0724863001,-0.954,0.0007302184,-0.310,0.3567779543
AIFM2,9,-0.235,0.9706895248,-0.788,0.288599274,0.175,0.8202772153,-0.015,0.9077305619
AIFM3,9,-0.491,0.4192992955,-2.719,0.0002416326,-0.762,0.7725898992,-0.383,0.5813349274
AIG1,9,0.346,0.1088009978,0.369,0.0603011225,-0.182,0.7452603983,0.105,0.8513861052
AIM1,10,-0.167,0.849038803,-0.635,0.762675059,0.014,0.6860235446,0.348,0.567006567
AIM2,10,-0.170,0.9567633117,0.149,0.3987561074,0.127,0.7399320025,0.036,0.6496760033
AIMP1,9,0.033,0.8536740271,0.218,0.3830710416,0.234,0.6981623269,0.153,0.7620064581
AIMP2,10,0.413,0.0842660591,0.176,0.1841809953,0.022,0.8569519297,-0.110,0.9460415337
AIP,10,-0.698,0.0778815071,0.040,0.5453998909,-0.328,0.7452603983,0.069,0.9297484952
AIPL1,10,-0.110,0.6786739722,-0.616,0.6280387772,-0.062,0.9050735492,-0.175,0.892550979
AIRE,8,0.021,0.7249473948,-0.189,0.8758931502,0.124,0.7901681679,0.056,0.9025028203
AJAP1,9,-0.054,0.9216345688,-0.131,0.7813135939,0.196,0.9346522077,0.066,0.7239155804
AJUBA,9,-0.552,0.5623900514,-0.425,0.7356793853,0.011,0.9726951334,-0.259,0.3983122569
AK1,9,-0.249,0.3184319715,-0.264,0.8729752725,0.158,0.7187389179,0.196,0.2183798353
AK2,10,-1.856,0.0110630533,-0.409,0.942575754,-2.109,0.0003309592,-1.011,0.0308986703
AK3,9,0.230,0.1690454528,0.346,0.0584922404,0.244,0.5058270875,0.064,0.8508253775
AK4,10,-0.409,0.8510001454,-0.871,0.3389936882,-0.245,0.9162606895,-0.595,0.3480706941
AK5,10,0.217,0.2701063834,-0.197,0.9197664257,0.463,0.2055606738,0.017,0.8998409618
AK6,10,-1.319,0.0010511841,-1.485,0.0176082166,-0.759,0.0550764259,-0.674,0.0615884692
AK7,10,-0.046,0.9247781521,0.369,0.2067972527,-0.033,0.9947419288,-0.017,0.7550638107
AK8,9,-0.137,0.9414571585,-0.152,0.5513479078,-0.363,0.7830934769,-0.060,0.8330271394
AK9,10,-0.079,0.8813720962,0.112,0.4578953423,-0.332,0.3712109148,0.121,0.7362160845
AKAP1,8,-0.728,0.9135505591,-1.614,0.3015098665,-0.810,0.7521203443,-0.397,0.3881281751
AKAP10,10,-0.500,0.1641416292,-0.202,0.6340083304,0.070,0.7721469988,-0.721,0.1351360214
AKAP11,10,0.190,0.5318142226,0.236,0.4651762657,0.044,0.4524866428,0.079,0.7661001377
AKAP12,10,-0.630,0.7138668979,-0.602,0.8472796438,-0.152,0.9707583986,-0.573,0.8103026693
AKAP13,9,-0.646,0.4989596164,-0.086,0.5472560989,-0.167,0.885211659,0.143,0.6191294175
AKAP14,10,0.201,0.2733956722,0.290,0.2950209667,0.003,0.9231339175,0.147,0.2402588331
AKAP17A,9,-0.761,0.4989596164,-1.016,0.9381846176,-1.021,0.7854309974,-0.544,0.6563817483
AKAP2,8,0.082,0.337304786,-0.062,0.3363463133,-0.016,0.7278314596,-0.027,0.8440326699
AKAP3,9,-0.020,0.773983211,0.459,0.0353814642,0.351,0.3443698622,-0.376,0.9208592068
AKAP4,10,0.458,0.0878060252,0.488,0.0437931788,0.173,0.533714814,0.355,0.0789920994
AKAP5,9,-0.074,0.797173771,0.039,0.929755399,0.108,0.9174306469,0.304,0.4827090478
AKAP6,10,-0.589,0.7335075741,-1.045,0.9052455632,-0.683,0.7911537272,-0.460,0.2026323385
AKAP7,10,0.220,0.1381263526,0.255,0.4842259747,0.306,0.2721939906,-0.060,0.8515517627
AKAP8,10,-0.259,0.6980991578,-0.312,0.5857608908,0.011,0.8336426852,-0.268,0.6553367533
AKAP8L,9,-0.095,0.7450292994,-0.827,0.5317521934,-0.186,0.6350147913,-0.417,0.4922632963
AKAP9,10,-0.083,0.9371522643,-0.114,0.795374167,0.046,0.8624957158,-0.470,0.4117349494
AKIP1,10,-0.589,0.9618233015,-0.628,0.744733652,-0.163,0.915357206,-0.391,0.8263206118
AKIRIN1,9,-0.384,0.5638204746,0.309,0.4029113149,-0.149,0.8398658096,-0.031,0.7731342723
AKIRIN2,10,-1.852,0.0009927897,-0.593,0.6583919808,-1.088,0.0453531052,-1.242,0.0157852862
AKNA,7,-0.449,0.2706567471,-0.243,0.9413883542,-0.402,0.3225151535,-0.491,0.7728733217
AKNAD1,10,-0.658,0.2687031079,-1.219,0.0350126354,-0.661,0.6719858259,-0.779,0.3889997824
AKR1A1,9,-0.851,0.1993884288,-1.107,0.4642370694,-0.160,0.7723629151,-0.233,0.8407718014
AKR1B1,9,-0.095,0.6175543639,-0.420,0.9455339858,0.046,0.6882237169,-0.219,0.8602957168
AKR1B10,9,0.351,0.0611005282,0.219,0.4808385548,0.311,0.24491915,0.325,0.1817464523
AKR1B15,10,0.223,0.1619607738,0.160,0.8844518336,-0.295,0.9955788958,0.019,0.9529551798
AKR1C1,9,-0.145,0.9879412451,-0.225,0.7516310276,-0.069,0.8747472122,-0.222,0.5210670643
AKR1C2,10,-0.184,0.5749568581,-0.242,0.9137906959,-0.101,0.9318603628,0.360,0.2687709749
AKR1C3,10,0.001,0.4832436651,0.075,0.6531595935,0.059,0.8616699908,0.202,0.2477648544
AKR1C4,10,0.091,0.5827193348,0.494,0.0627336478,0.023,0.9415319861,0.178,0.3118678392
AKR1D1,10,0.107,0.3502428159,-0.241,0.7504653725,0.280,0.2929856765,0.107,0.7113327151
AKR1E2,9,0.202,0.5718466458,-0.046,0.8663183537,0.217,0.8276186873,0.032,0.9634319159
AKR7A2,10,0.484,0.0388765468,0.023,0.7046892362,0.213,0.6762674672,-0.061,0.9493152298
AKR7A3,10,-0.112,0.9344605149,-0.336,0.7819830181,0.145,0.7693745763,0.009,0.8376401938
AKT1,9,-0.267,0.5059973029,-0.486,0.994967661,-0.498,0.1903570881,-0.502,0.4695605726
AKT1S1,9,-0.300,0.9998153218,-1.709,0.0671902491,-0.348,0.8723718931,-0.783,0.6124019247
AKT2,9,-0.087,0.7895161626,-0.629,0.2703430265,-1.044,0.0652462628,-1.148,0.0218494146
AKT3,10,0.304,0.006412183,-0.066,0.945641698,0.241,0.5890602963,0.419,0.1887779374
AKTIP,8,-0.079,0.8978231238,0.438,0.4461244546,0.475,0.0826747492,0.119,0.8066329999
ALAD,8,-1.457,0.0003952786,-0.870,0.3324231398,-0.568,0.1792795126,-1.024,0.0061536508
ALAS1,8,-1.426,0.004911192,-0.459,0.5093936516,-0.535,0.6185460025,-1.023,0.0563560045
ALAS2,10,-0.134,0.977503362,0.198,0.3922096442,0.306,0.5395639072,0.003,0.8007370784
ALB,10,0.159,0.2502313452,0.217,0.3189765339,0.238,0.3283854748,0.424,0.0418509782
ALCAM,10,-0.024,0.9001118428,0.011,0.6342849023,0.005,0.9726644294,0.136,0.7584106239
ALDH16A1,9,-0.023,0.976687172,-0.164,0.8415387059,0.098,0.6193092514,-0.006,0.9801672537
ALDH18A1,10,-2.493,3.40E-05,-1.807,0.0002116406,-0.244,0.8373899958,-1.580,6.98E-05
ALDH1A1,10,0.138,0.3348427162,0.161,0.5790335117,0.055,0.6130380966,0.072,0.4483021068
ALDH1A2,10,-0.003,0.4547507364,-0.043,0.5335139064,0.309,0.1338554154,0.033,0.8870924838
ALDH1A3,10,0.175,0.4136753213,-0.153,0.8217846839,0.224,0.3652776116,-0.042,0.6042685366
ALDH1B1,10,-0.164,0.3979837867,-1.120,0.0564213428,-0.074,0.863060649,-0.365,0.7325032998
ALDH1L1,9,0.097,0.8208059001,-0.519,0.7498004043,0.311,0.5095197517,-0.008,0.6778949912
ALDH1L2,9,-0.070,0.7535845181,-1.331,0.2756090823,-0.021,0.7012109786,-0.171,0.582149921
ALDH2,10,-0.157,0.7788457543,-0.495,0.3037824668,0.027,0.6626670987,0.407,0.3070571115
ALDH3A1,10,0.029,0.8083698523,-0.139,0.9267623606,0.137,0.3722699367,-0.152,0.8278189909
ALDH3A2,10,0.327,0.0348688614,0.005,0.6405634293,0.323,0.6103447037,0.413,0.2061276339
